customer_id,membership_days,age,income,gender_Blank,gender_F,gender_M,gender_O
0,530,23,56000,1,0,0,0
1,377,55,112000,0,1,0,0
2,15,89,68000,1,0,0,0
3,444,75,100000,0,1,0,0
4,357,82,88000,1,0,0,0
5,92,68,70000,0,0,1,0
6,305,51,59000,1,0,0,0
7,298,46,58000,1,0,0,0
8,168,65,53000,0,0,1,0
9,612,62,111000,1,0,0,0
10,337,52,55000,1,0,0,0
11,1042,47,33000,1,0,0,0
12,258,58,51000,0,0,1,0
13,319,61,57000,0,1,0,0
14,1625,26,46000,0,0,1,0
15,897,62,71000,0,1,0,0
16,1352,49,52000,0,0,1,0
17,360,26,82000,1,0,0,0
18,208,57,42000,0,0,1,0
19,87,61,40000,0,1,0,0
20,814,40,71000,0,1,0,0
21,321,64,100000,0,0,1,0
22,406,78,71000,0,1,0,0
23,323,97,41000,1,0,0,0
24,1811,42,69000,0,0,1,0
25,90,56,88000,0,1,0,0
26,484,61,78000,1,0,0,0
27,304,33,52000,0,1,0,0
28,319,46,59000,0,1,0,0
29,1283,59,41000,0,0,1,0
30,1434,67,96000,0,0,1,0
31,314,53,52000,0,0,0,1
32,305,22,70000,0,0,1,0
33,252,96,89000,0,1,0,0
34,748,40,33000,0,0,1,0
35,712,69,57000,0,1,0,0
36,750,68,69000,1,0,0,0
37,1538,56,68000,0,0,1,0
38,349,26,63000,0,1,0,0
39,195,62,50000,1,0,0,0
40,988,75,40000,0,0,1,0
41,746,20,30000,0,1,0,0
42,20,45,33000,0,0,1,0
43,248,61,98000,0,0,1,0
44,1354,38,56000,1,0,0,0
45,442,42,54000,1,0,0,0
46,1773,69,37000,0,1,0,0
47,535,54,80000,0,1,0,0
48,1522,39,51000,0,0,1,0
49,1040,41,41000,0,1,0,0
50,1199,79,48000,0,1,0,0
51,110,66,38000,0,1,0,0
52,396,56,52000,0,1,0,0
53,1465,39,56000,0,1,0,0
54,425,59,49000,1,0,0,0
55,922,42,96000,0,0,1,0
56,287,21,61000,1,0,0,0
57,950,32,65000,1,0,0,0
58,656,78,93000,0,1,0,0
59,294,45,48000,0,0,1,0
60,818,29,50000,0,0,1,0
61,306,44,35000,0,0,1,0
62,14,63,56000,0,0,1,0
63,211,36,56000,0,0,1,0
64,135,76,47000,0,1,0,0
65,338,68,87000,0,0,1,0
66,971,75,52000,0,0,1,0
67,516,67,76000,0,0,1,0
68,727,77,51000,0,0,1,0
69,1426,76,64000,0,0,1,0
70,170,57,98000,0,0,1,0
71,751,53,72000,0,1,0,0
72,573,53,117000,0,1,0,0
73,274,53,55000,0,1,0,0
74,259,61,112000,0,1,0,0
75,685,67,77000,0,1,0,0
76,183,58,85000,0,1,0,0
77,28,46,36000,0,1,0,0
78,237,30,41000,0,0,1,0
79,341,59,89000,0,0,1,0
